lempos,lemma,PoS_CLAN,n,PoS_type
blush@part,blush,part,1,lexical
blush@v,blush,v,2,lexical
bluster@part,bluster,part,1,lexical
bo_peep@n:prop,bo_peep,n:prop,3,non-lexical
boa@n,boa,n,1,lexical
boar@n,boar,n,2,lexical
board@n,board,n,10,lexical
board@n:gerund,board,n:gerund,1,lexical
board@part,board,part,1,lexical
boast@adj,boast,adj,2,lexical
boast@n,boast,n,3,lexical
boast@n:gerund,boast,n:gerund,1,lexical
boast@part,boast,part,2,lexical
boast@v,boast,v,2,lexical
boat@n,boat,n,58,lexical
boat@v,boat,v,1,lexical
bob@adj,bob,adj,1,lexical
bob@n:prop,bob,n:prop,1,non-lexical
bob@part,bob,part,6,lexical
bob@v,bob,v,8,lexical
bobble@part,bobble,part,1,lexical
bobblemouth@n:prop,bobblemouth,n:prop,1,non-lexical
bobsticle@wplay,bobsticle,wplay,1,non-lexical
bobton@n:prop,bobton,n:prop,1,non-lexical
bobtontrent@adj,bobtontrent,adj,3,lexical
bobtontrent@n:prop,bobtontrent,n:prop,65,non-lexical
bobtontrents@n:prop,bobtontrents,n:prop,20,non-lexical
body@n,body,n,65,lexical
boffin@n,boffin,n,1,lexical
bog@n,bog,n,11,lexical
bogey@n,bogey,n,6,lexical
boggart_hollow@n:prop,boggart_hollow,n:prop,2,non-lexical
boggle@part,boggle,part,3,lexical
boggle@v,boggle,v,1,lexical
bogglebox@n:prop,bogglebox,n:prop,1,non-lexical
boggleboxes@n:prop,boggleboxes,n:prop,1,non-lexical
bogles@n,bogles,n,1,lexical
bogrotting@wplay,bogrotting,wplay,1,non-lexical
bogthumper@n:prop,bogthumper,n:prop,3,non-lexical
bogthumping@wplay,bogthumping,wplay,1,non-lexical
boil@n,boil,n,4,lexical
boil@part,boil,part,8,lexical
boil@v,boil,v,16,lexical
boing@v,boing,v,8,lexical
boisterous@adj,boisterous,adj,1,lexical
bold@adj,bold,adj,4,lexical
bold@adv,bold,adv,3,lexical
bolt@n,bolt,n,3,lexical
