dataset,sample,mother_child_tokens_hr,all_tokens_hr,adult_child_tokens_hr
Soderstrom & Wittebolle,Daycare,NA,456,NA
Soderstrom & Wittebolle,Daycare,NA,1867.2,NA
Soderstrom & Wittebolle,Daycare,NA,956.4,NA
Soderstrom & Wittebolle,Daycare,NA,849.6,NA
Soderstrom & Wittebolle,Daycare,NA,1233.6,NA
Weisleder & Fernald,low-SES Spanish-speaking,727.901821917068,843.055630642807,NA
Weisleder & Fernald,low-SES Spanish-speaking,198.609386640179,257.164142041222,NA
Weisleder & Fernald,low-SES Spanish-speaking,844.820601119186,880.409186438103,NA
Weisleder & Fernald,low-SES Spanish-speaking,579.546798029557,1544.27586206897,NA
Weisleder & Fernald,low-SES Spanish-speaking,1039.91692627207,1424.54828660436,NA
Weisleder & Fernald,low-SES Spanish-speaking,309.455451792024,1508.9916708733,NA
Weisleder & Fernald,low-SES Spanish-speaking,1251.10421759763,1601.78318302278,NA
Weisleder & Fernald,low-SES Spanish-speaking,166.618538839157,539.127923765521,NA
Weisleder & Fernald,low-SES Spanish-speaking,752.47426516185,1211.45975443383,NA
Weisleder & Fernald,low-SES Spanish-speaking,431.892026993252,437.590602349413,NA
Weisleder & Fernald,low-SES Spanish-speaking,605.794939886138,906.782589716074,NA
Weisleder & Fernald,low-SES Spanish-speaking,943.333223129566,1598.83624822296,NA
Weisleder & Fernald,low-SES Spanish-speaking,613.028980939268,1306.68038021931,NA
Weisleder & Fernald,low-SES Spanish-speaking,714.630103962634,955.552207322585,NA
Weisleder & Fernald,low-SES Spanish-speaking,975.163242791974,1312.47204746713,NA
Weisleder & Fernald,low-SES Spanish-speaking,67.1597041774935,201.718968618829,NA
Weisleder & Fernald,low-SES Spanish-speaking,437.000871839582,795.536181342633,NA
Weisleder & Fernald,low-SES Spanish-speaking,537.038520060863,1929.04620805638,NA
Weisleder & Fernald,low-SES Spanish-speaking,1217.91964093872,1439.44421897009,NA
Weisleder & Fernald,low-SES Spanish-speaking,75.3508771929825,561.929824561404,NA
Weisleder & Fernald,low-SES Spanish-speaking,298.192771084337,737.530120481928,NA
Weisleder & Fernald,low-SES Spanish-speaking,296.819787985866,624.519895529267,NA
Weisleder & Fernald,low-SES Spanish-speaking,1124.15720455745,2871.30880025015,NA
Weisleder & Fernald,low-SES Spanish-speaking,392.970591249103,884.311917204632,NA
Weisleder & Fernald,low-SES Spanish-speaking,1026.95512147308,1116.85220191836,NA
Weisleder & Fernald,low-SES Spanish-speaking,109.163083030103,705.788951372808,NA
Weisleder & Fernald,low-SES Spanish-speaking,130.025951265546,590.677766168987,NA
Weisleder & Fernald,low-SES Spanish-speaking,1027.6154084478,1584.79809976247,NA
Weisleder & Fernald,low-SES Spanish-speaking,447.390223695112,1066.94283347142,NA
